time,t2m,u10,v10,d2m,sf,tp,longitude,latitude
01/01/17 12:00,295.18082,-0.026832461,-1.3293282,291.34882,0,0,88.37999725,22.87999916
02/01/17 12:00,295.43665,-0.004036188,-2.18571,290.84296,0,0,88.37999725,22.87999916
03/01/17 12:00,296.14456,0.8475094,-2.3201513,290.34433,0,0,88.37999725,22.87999916
04/01/17 12:00,294.4398,1.6023729,-1.768268,289.98276,0,0,88.37999725,22.87999916
05/01/17 12:00,295.22455,0.714612,-2.2230906,289.77798,0,0,88.37999725,22.87999916
06/01/17 12:00,293.6969,-0.26304054,-2.6586614,288.169,0,0,88.37999725,22.87999916
07/01/17 12:00,294.2583,-0.7179958,-2.3434138,288.8537,0,0,88.37999725,22.87999916
08/01/17 12:00,294.7447,-0.9430483,-2.2330375,289.82236,0,0,88.37999725,22.87999916
09/01/17 12:00,296.0349,-1.3014832,-1.9753848,290.57147,0,0,88.37999725,22.87999916
10/01/17 12:00,293.13647,-0.4407221,-2.1839452,286.46143,0,0,88.37999725,22.87999916
11/01/17 12:00,294.74844,-0.17023873,-1.9121748,288.28537,0,1.86E-07,88.37999725,22.87999916
12/01/17 12:00,292.9756,0.1582861,-1.8914791,285.87634,0,0,88.37999725,22.87999916
13/01/17 12:00,292.26926,0.23152518,-2.2274222,284.4485,0,0,88.37999725,22.87999916
14/01/17 12:00,291.72473,0.8475094,-2.0320172,281.91882,0,0,88.37999725,22.87999916
15/01/17 12:00,293.02994,1.2677042,-2.3305793,284.932,0,0,88.37999725,22.87999916
16/01/17 12:00,293.57852,1.513613,-1.8662916,285.41418,0,0,88.37999725,22.87999916
17/01/17 12:00,294.94995,-0.23798084,-2.3369966,287.98428,0,0,88.37999725,22.87999916
18/01/17 12:00,295.87247,-0.5162246,-2.7008548,288.48227,0,0,88.37999725,22.87999916
19/01/17 12:00,295.93463,1.1394956,-2.1075802,287.6681,0,0,88.37999725,22.87999916
20/01/17 12:00,295.96304,1.2785366,-1.9054369,287.8972,0,0,88.37999725,22.87999916
21/01/17 12:00,295.43292,1.5527384,-2.457962,286.0693,0,0,88.37999725,22.87999916
22/01/17 12:00,296.0555,1.934778,-1.7304064,287.4186,0,0,88.37999725,22.87999916
23/01/17 12:00,297.4335,0.6638458,-2.0597715,287.76407,0,0,88.37999725,22.87999916
24/01/17 12:00,296.5591,-0.019233704,-2.6775923,289.8138,0,0,88.37999725,22.87999916
